rep,run_t,avg_speed,train_ctr
534,0.014398,28.644689,96
535,0.015390,26.176949,93
536,0.015049,18.185090,82
537,0.014922,21.997181,88
538,0.013706,19.584805,74
539,0.015029,24.003827,80
540,0.014689,28.043313,90
541,0.014347,21.853083,79
542,0.015175,29.110945,89
543,0.013561,18.780892,68
544,0.017284,24.226371,91
545,0.014632,24.884050,93
546,0.015218,17.419014,80
547,0.014101,30.521000,98
548,0.015697,23.012343,94
549,0.015287,28.759528,96
550,0.014416,29.889106,87
551,0.014625,20.568588,79
552,0.014013,32.948607,92
553,0.015295,24.874325,98
554,0.015286,28.852470,94
555,0.014284,25.648988,82
556,0.015113,22.592469,87
557,0.014492,28.059501,77
558,0.014172,25.746543,89
559,0.014316,24.266993,82
560,0.015050,30.948530,95
561,0.014950,31.405843,97
