rep,run_t,avg_speed,train_ctr
817,0.013275,15.976075,67
818,0.012927,15.546580,67
819,0.014048,16.734243,68
820,0.013384,15.411038,67
821,0.014310,18.088342,66
822,0.013887,15.815447,71
823,0.014527,17.507246,66
824,0.013960,23.465261,71
825,0.014059,16.255446,66
826,0.014791,17.055307,70
827,0.013940,17.943285,66
828,0.013927,17.604639,66
829,0.013624,16.116542,66
830,0.014411,16.075924,68
831,0.013884,15.926470,66
832,0.014582,18.862851,71
833,0.013656,15.689812,66
834,0.013621,15.850108,67
835,0.015843,28.434411,100
836,0.013834,17.346353,67
837,0.013414,16.432781,67
838,0.013809,15.425008,66
839,0.014399,17.423145,73
840,0.013389,15.696944,67
841,0.013271,15.771170,67
842,0.015114,24.471232,86
843,0.014104,18.838087,76
844,0.014112,16.581377,67
845,0.013939,16.133709,67
846,0.014256,18.078848,66
847,0.015724,19.004343,85
848,0.013681,16.112300,66
849,0.013859,15.429809,67
850,0.013685,16.498316,67
851,0.013370,15.636454,67
852,0.013445,15.663233,67
853,0.013364,15.605036,66
854,0.013585,15.415087,66
855,0.013276,17.033176,67
856,0.013399,15.257877,70
857,0.013969,17.089208,66
858,0.013446,15.650608,66
859,0.013752,16.712103,68
860,0.014123,15.652212,70
861,0.013418,16.317103,66
862,0.014201,17.701927,67
863,0.015740,16.033984,68
864,0.013400,15.819147,66
865,0.013595,15.504597,67
866,0.014061,18.529706,68
867,0.014116,18.543869,76
868,0.013692,16.571127,66
869,0.014128,16.322327,69
870,0.013291,15.373325,67
871,0.014293,15.630286,66
872,0.013386,15.379050,67
873,0.013976,16.241756,67
874,0.013833,16.157040,68
875,0.013121,15.497542,66
876,0.013881,16.337653,67
877,0.013976,17.541608,69
878,0.013890,16.538222,67
879,0.014083,15.661569,69
880,0.012875,15.446159,66
881,0.013399,16.169114,66
882,0.014728,19.222339,84
883,0.013843,18.009809,67
884,0.014511,18.026731,70
885,0.013334,15.540564,67
886,0.012900,15.375518,67
887,0.014191,16.109541,72
888,0.014854,24.070594,86
889,0.013601,15.811619,66
890,0.013900,16.867456,69
891,0.013665,16.443116,66
892,0.014806,18.044123,77
893,0.015622,25.472381,93
894,0.014419,15.997858,69
895,0.013622,15.551427,66
896,0.014657,20.600593,72
897,0.014694,15.923270,74
898,0.015026,20.219669,79
899,0.013448,16.140721,66
900,0.013528,17.727268,66
901,0.013858,16.502323,67
902,0.015088,19.109936,79
903,0.013226,15.815311,66
904,0.013213,15.390509,66
905,0.014741,16.211821,77
906,0.014837,16.326281,78
907,0.014548,17.448868,68
908,0.014517,18.086212,75
909,0.013449,15.734937,67
910,0.014648,21.901103,76
911,0.013738,15.974175,66
912,0.015028,21.888681,79
913,0.013869,15.754493,67
914,0.014197,16.475964,79
915,0.014322,16.388823,66
916,0.013217,15.397675,66
917,0.013760,16.941321,68
918,0.014197,15.789879,66
919,0.013205,15.430076,66
920,0.013605,15.470360,66
921,0.013320,16.154813,66
922,0.014362,21.291890,77
923,0.014750,16.722069,73
924,0.014739,18.783119,74
925,0.013821,15.652386,71
926,0.014019,16.656076,67
927,0.014390,18.384922,75
928,0.013556,16.776582,67
929,0.013476,15.566846,66
930,0.013540,15.539710,66
931,0.013659,15.626484,66
932,0.014327,19.091859,68
933,0.013223,15.447258,66
934,0.015450,17.407458,80
935,0.015291,18.551145,80
936,0.014011,15.575284,67
937,0.013389,15.500598,67
938,0.013905,17.740637,67
939,0.014582,16.452849,70
940,0.014052,15.471867,67
941,0.013561,15.380000,66
942,0.013798,16.590033,67
943,0.013563,15.984075,66
944,0.014591,16.229688,75
945,0.014065,16.871500,66
946,0.013610,15.892252,66
947,0.014613,18.523636,70
948,0.014103,17.099480,67
949,0.014508,17.983556,77
950,0.014492,18.157442,68
951,0.014108,16.023627,67
952,0.013312,16.600841,67
953,0.013838,15.979858,68
954,0.013390,15.416567,67
955,0.014410,18.405855,72
956,0.013958,18.812708,68
957,0.013723,19.612128,69
958,0.014184,21.103558,76
959,0.014352,15.645791,66
960,0.014335,16.448952,67
961,0.014264,17.511962,66
962,0.013455,15.395102,66
963,0.014603,16.810737,67
964,0.015295,22.142610,82
965,0.014284,17.099605,66
966,0.014452,18.023838,66
967,0.013412,15.393485,66
968,0.013218,15.370542,66
969,0.013404,15.371210,67
970,0.014343,17.546384,69
971,0.014921,18.730435,71
972,0.014197,16.183946,66
973,0.012889,15.366717,67
974,0.015209,25.793547,90
975,0.013596,15.491703,66
976,0.013965,17.395034,69
977,0.014160,16.715083,67
978,0.014729,15.889978,72
979,0.013684,15.371768,67
980,0.015453,24.915590,87
981,0.013477,15.380542,67
982,0.013437,15.380000,66
983,0.014076,15.781802,66
984,0.014050,16.619274,70
985,0.014282,17.771305,69
986,0.013986,18.181425,73
987,0.015200,23.404837,93
988,0.015438,19.410208,75
989,0.013745,16.171935,67
990,0.014711,17.948499,77
991,0.014696,18.268696,78
992,0.014017,16.273644,66
